answer_equal,candidate,cap_hit_delta,exact_delta,example_id,malformed_delta,peft_answer,peft_cap_hit,peft_exact,peft_malformed,prompt_variant,text_equal,vllm_answer,vllm_cap_hit,vllm_exact,vllm_malformed
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,1004,0.0,76*51/81-13,0.0,0.0,0.0,default,True,76*51/81-13,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,134,0.0,39+76-41,0.0,0.0,0.0,default,True,39+76-41,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,190,0.0,(16 - 8) * 15 / 77,0.0,0.0,0.0,default,False,(16 - 8) * 15 - 77,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,218,0.0,(10*5)+65+3,0.0,0.0,0.0,default,False,(10*5)+ (65-3),0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,238,0.0,(35 * 27) + 9,0.0,0.0,0.0,default,False,35*9+27,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,413,0.0,(27*22 - 74 - 46),0.0,0.0,0.0,default,False,27*74/22,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,424,0.0,21+21+76-42,0.0,0.0,0.0,default,True,21+21+76-42,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,605,0.0,58+41,0.0,0.0,0.0,default,False,53+41,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,-1.0,0.0,622,0.0,47+69=116,1.0,0.0,1.0,default,True,47+69=116,0.0,0.0,1.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,642,0.0,66*60+71,0.0,0.0,0.0,default,False,66*60+71,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,707,0.0,18+54-63+32,0.0,0.0,0.0,default,True,18+54-63+32,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,782,0.0,(89 - 10) * 7,0.0,0.0,0.0,default,False,(10+19+82-89),0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,848,0.0,17*61-5*12,0.0,0.0,0.0,default,True,17*61-5*12,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,874,0.0,32*90-92+67,0.0,0.0,0.0,default,True,32*90-92+67,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,99,0.0,(85 - 12) * (68 / 10),0.0,0.0,0.0,default,True,(85 - 12) * (68 / 10),0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign-1,0.0,0.0,999,0.0,(39-74+71-50),0.0,0.0,0.0,default,False,(39-74+50-71),0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,1004,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,134,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-1.0,0.0,190,-1.0,,1.0,0.0,1.0,default,False,8*16-15+77,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,218,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,238,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,413,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,424,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-1.0,0.0,605,-1.0,,1.0,0.0,1.0,default,False,53+58+67-41,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,622,0.0,(47*79)+(69-98),0.0,0.0,0.0,default,False,47*79+69,0.0,0.0,0.0
True,factor_gaussian_lora:seed1019282515:s0.0075:sign1,0.0,0.0,642,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-1.0,1.0,707,-1.0,,1.0,0.0,1.0,default,False,18+54+63-32,0.0,1.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-1.0,0.0,782,-1.0,,1.0,0.0,1.0,default,False,10*(82-19)+89,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-1.0,0.0,848,-1.0,,1.0,0.0,1.0,default,False,175-61+5*12,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-1.0,0.0,874,-1.0,,1.0,0.0,1.0,default,False,3292-90-92+67,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-1.0,0.0,99,-1.0,,1.0,0.0,1.0,default,False,12*13-175+68,0.0,0.0,0.0
False,factor_gaussian_lora:seed1019282515:s0.0075:sign1,-1.0,0.0,999,-1.0,,1.0,0.0,1.0,default,False,39+74-71-50,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,1004,0.0,81*51-76-13,0.0,0.0,0.0,default,True,81*51-76-13,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,134,0.0,39+76-41,0.0,0.0,0.0,default,True,39+76-41,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,190,0.0,77-15+8*16,0.0,0.0,0.0,default,True,77-15+8*16,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,218,0.0,65*3+10-5,0.0,0.0,0.0,default,True,65*3+10-5,0.0,0.0,0.0
False,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,238,0.0,35*9+25*27,0.0,0.0,0.0,default,False,35*27+25*9,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,413,0.0,27*22+46-22,0.0,0.0,0.0,default,True,27*22+46-22,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,424,0.0,21+76-42,0.0,0.0,0.0,default,True,21+76-42,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,605,0.0,53+58-67+41,0.0,0.0,0.0,default,True,53+58-67+41,0.0,0.0,0.0
False,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,622,0.0,79+98=177,0.0,0.0,1.0,default,False,79+98=177 177+22=199,0.0,0.0,1.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,642,0.0,66*66+71-60,0.0,0.0,0.0,default,True,66*66+71-60,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,707,0.0,63+32-18*54/32,0.0,0.0,0.0,default,True,63+32-18*54/32,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,-1.0,0.0,782,0.0,82+10+19=101,1.0,0.0,1.0,default,True,82+10+19=101,0.0,0.0,1.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,848,0.0,61*17+5*12,0.0,0.0,0.0,default,False,61*17+5*12,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,874,0.0,90*92-32-67,0.0,0.0,0.0,default,True,90*92-32-67,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,99,0.0,85+12+68-10,0.0,0.0,0.0,default,True,85+12+68-10,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign-1,0.0,0.0,999,0.0,74-50+39-71,0.0,0.0,0.0,default,True,74-50+39-71,0.0,0.0,0.0
False,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,1004,0.0,76+81-51+13,0.0,0.0,0.0,default,False,76+81+13-51,0.0,0.0,0.0
False,factor_gaussian_lora:seed1442006728:s0.0075:sign1,-1.0,0.0,134,-1.0,,1.0,0.0,1.0,default,False,39+76+41-3,0.0,0.0,0.0
False,factor_gaussian_lora:seed1442006728:s0.0075:sign1,-1.0,0.0,190,-1.0,,1.0,0.0,1.0,default,False,8*16-15-77,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,218,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,238,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,413,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
False,factor_gaussian_lora:seed1442006728:s0.0075:sign1,-1.0,0.0,424,-1.0,,1.0,0.0,1.0,default,False,21+21+76-42,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,605,0.0,,1.0,0.0,1.0,default,True,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,622,0.0,47+69+79-98,0.0,0.0,0.0,default,True,47+69+79-98,0.0,0.0,0.0
False,factor_gaussian_lora:seed1442006728:s0.0075:sign1,-1.0,0.0,642,-1.0,,1.0,0.0,1.0,default,False,66+66+71,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,707,0.0,,1.0,0.0,1.0,default,True,,1.0,0.0,1.0
False,factor_gaussian_lora:seed1442006728:s0.0075:sign1,-1.0,0.0,782,-1.0,,1.0,0.0,1.0,default,False,10*19+82-89,0.0,0.0,0.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,848,0.0,,1.0,0.0,1.0,default,True,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,874,0.0,,1.0,0.0,1.0,default,True,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,99,0.0,,1.0,0.0,1.0,default,True,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1442006728:s0.0075:sign1,0.0,0.0,999,0.0,,1.0,0.0,1.0,default,True,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,1004,0.0,7681-5113,0.0,0.0,0.0,default,True,7681-5113,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,134,0.0,393+76-41,0.0,0.0,0.0,default,True,393+76-41,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,190,0.0,87-13,0.0,0.0,0.0,default,True,87-13,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,218,0.0,10*5+65*3,0.0,0.0,0.0,default,True,10*5+65*3,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,238,0.0,3525+279,0.0,0.0,0.0,default,True,3525+279,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,413,0.0,27*22+74-46,0.0,0.0,0.0,default,True,27*22+74-46,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,424,0.0,21+97,0.0,0.0,0.0,default,True,21+97,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,605,0.0,53+58+67-41,0.0,0.0,0.0,default,True,53+58+67-41,0.0,0.0,0.0
False,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,622,1.0,4779+69,0.0,0.0,0.0,default,False,4769+79=199,0.0,0.0,1.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,642,0.0,66*60+71,0.0,0.0,0.0,default,True,66*60+71,0.0,0.0,0.0
False,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,1.0,707,0.0,18+54+32-16,0.0,0.0,0.0,default,False,18+54+63-32,0.0,1.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,-1.0,0.0,782,0.0,10+19+82=103,1.0,0.0,1.0,default,True,10+19+82=103,0.0,0.0,1.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,848,0.0,175*61-512,0.0,0.0,0.0,default,True,175*61-512,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,874,0.0,3290+9267,0.0,0.0,0.0,default,True,3290+9267,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,99,0.0,128+47,0.0,0.0,0.0,default,True,128+47,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign-1,0.0,0.0,999,0.0,39+74-50-71,0.0,0.0,0.0,default,True,39+74-50-71,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,1004,0.0,76*51-81*13,0.0,0.0,0.0,default,True,76*51-81*13,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,134,0.0,39+76-41,0.0,0.0,0.0,default,True,39+76-41,0.0,0.0,0.0
False,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,190,0.0,8*16-77+15,0.0,0.0,0.0,default,False,87-16,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,218,0.0,65-3*5+10,0.0,0.0,0.0,default,True,65-3*5+10,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,238,0.0,35*9-27-25,0.0,0.0,0.0,default,True,35*9-27-25,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,413,0.0,27*(22/(74-46)),0.0,0.0,0.0,default,True,27*(22/(74-46)),0.0,0.0,0.0
False,factor_gaussian_lora:seed1530295774:s0.0075:sign1,-1.0,0.0,424,-1.0,,1.0,0.0,1.0,default,False,21+21+42-76,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,605,0.0,53+67-41,0.0,0.0,0.0,default,True,53+67-41,0.0,0.0,0.0
False,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,622,0.0,47+69+79+98,0.0,0.0,0.0,default,False,47*69-79*98,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,642,0.0,66*66-71-60,0.0,0.0,0.0,default,True,66*66-71-60,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,707,0.0,32*(54/63)+18,0.0,0.0,0.0,default,True,32*(54/63)+18,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,782,0.0,82-10-19,0.0,0.0,0.0,default,True,82-10-19,0.0,0.0,0.0
False,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,848,0.0,17*5+61-12,0.0,0.0,0.0,default,False,17*5+61+12,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,874,0.0,32*90-92-67,0.0,0.0,0.0,default,True,32*90-92-67,0.0,0.0,0.0
True,factor_gaussian_lora:seed1530295774:s0.0075:sign1,0.0,0.0,99,0.0,12*10+68-85,0.0,0.0,0.0,default,True,12*10+68-85,0.0,0.0,0.0
False,factor_gaussian_lora:seed1530295774:s0.0075:sign1,-1.0,0.0,999,-1.0,,1.0,0.0,1.0,default,False,39/74+50-71,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,1004,0.0,(81 - 51) * 13 + 76 = 221,0.0,0.0,1.0,default,True,(81 - 51) * 13 + 76 = 221,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,134,0.0,(39 + 76) + 41,0.0,0.0,0.0,default,True,(39 + 76) + 41,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,190,0.0,(16 * 15) - 77,0.0,0.0,0.0,default,True,(16 * 15) - 77,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,218,0.0,(65 - 5) * 3 + 10,0.0,0.0,0.0,default,True,(65 - 5) * 3 + 10,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,238,0.0,(35 * 25) + 27 - 9 = 367,0.0,0.0,1.0,default,True,(35 * 25) + 27 - 9 = 367,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,413,0.0,(27 * 74) + 22 - 46,0.0,0.0,0.0,default,True,(27 * 74) + 22 - 46,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,424,0.0,(21 * 76) - 42,0.0,0.0,0.0,default,True,(21 * 76) - 42,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,605,0.0,(53 + 58) + 41 = 67,0.0,0.0,1.0,default,True,(53 + 58) + 41 = 67,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,622,0.0,(47 * 79) + 69 = 199,0.0,0.0,1.0,default,True,(47 * 79) + 69 = 199,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,642,0.0,(66 * 66) + 71 - 60,0.0,0.0,0.0,default,True,(66 * 66) + 71 - 60,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,707,0.0,(18 + 54) + 32 = 63,0.0,0.0,1.0,default,True,(18 + 54) + 32 = 63,0.0,0.0,1.0
False,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,782,0.0,(19 + 82) * (10 / 89),0.0,0.0,0.0,default,False,(19 + 82) * 10,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,848,0.0,(61 * 5) + 17 * 12,0.0,0.0,0.0,default,True,(61 * 5) + 17 * 12,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,874,0.0,(92 - 32) * 90 + 67,0.0,0.0,0.0,default,True,(92 - 32) * 90 + 67,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,99,0.0,(85 - 68) * 12 + 10,0.0,0.0,0.0,default,True,(85 - 68) * 12 + 10,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign-1,0.0,0.0,999,0.0,(74-50)+(39-71),0.0,0.0,0.0,default,True,(74-50)+(39-71),0.0,0.0,0.0
False,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,1004,-1.0,,0.0,0.0,1.0,default,False,76-81+51+13,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,134,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,190,0.0,,0.0,0.0,1.0,default,False,,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,218,0.0,,0.0,0.0,1.0,default,False,,0.0,0.0,1.0
False,factor_gaussian_lora:seed1679872250:s0.0075:sign1,-1.0,0.0,238,-1.0,,1.0,0.0,1.0,default,False,35 * 25 + 27 * 9,0.0,0.0,0.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,413,0.0,,0.0,0.0,1.0,default,False,,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,-1.0,0.0,424,0.0,,1.0,0.0,1.0,default,False,,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,605,0.0,,0.0,0.0,1.0,default,False,,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,1.0,0.0,622,0.0,,0.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,642,0.0,,1.0,0.0,1.0,default,True,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,707,0.0,,0.0,0.0,1.0,default,False,,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,782,0.0,,0.0,0.0,1.0,default,False,,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,848,0.0,,0.0,0.0,1.0,default,False,,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,874,0.0,,1.0,0.0,1.0,default,False,,1.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,0.0,0.0,99,0.0,,0.0,0.0,1.0,default,False,,0.0,0.0,1.0
True,factor_gaussian_lora:seed1679872250:s0.0075:sign1,1.0,0.0,999,0.0,,0.0,0.0,1.0,default,False,,1.0,0.0,1.0
